category,sub_category,product_name,manufacturer,customer_name,city,state,region,country,postal_code,order_id,order_date,ship_date,ship_mode,sales,quantity,discount,profit,profit_ratio
Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Message Book,Darren Powers,Houston,Texas,Central,United States,77095,CA-2011-103800,2013-01-03,2013-01-07,Standard Class,16.0,2,0.2,6.0,0.34
Office Supplies,Labels,Avery 508,Avery,Phillina Ober,Naperville,Illinois,Central,United States,60540,CA-2011-112326,2013-01-04,2013-01-08,Standard Class,12.0,3,0.2,4.0,0.36
Office Supplies,Storage,SAFCO Boltless Steel Shelving,SAFCO,Phillina Ober,Naperville,Illinois,Central,United States,60540,CA-2011-112326,2013-01-04,2013-01-08,Standard Class,273.0,3,0.2,-65.0,-0.24
Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,GBC,Phillina Ober,Naperville,Illinois,Central,United States,60540,CA-2011-112326,2013-01-04,2013-01-08,Standard Class,4.0,2,0.8,-5.0,-1.55
Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Avery,Mick Brown,Philadelphia,Pennsylvania,East,United States,19143,CA-2011-141817,2013-01-05,2013-01-12,Standard Class,20.0,3,0.2,5.0,0.25
Office Supplies,Paper,Xerox 225,Xerox,Lycoris Saunders,Los Angeles,California,West,United States,90049,CA-2011-130813,2013-01-06,2013-01-08,Second Class,19.0,3,0.0,9.0,0.48
Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Dixon,Jack O'Briant,Athens,Georgia,South,United States,30605,CA-2011-106054,2013-01-06,2013-01-07,First Class,13.0,3,0.0,5.0,0.41
Furniture,Chairs,Global Deluxe High-Back Manager's Chair,Global,Maria Etezadi,Henderson,Kentucky,South,United States,42420,CA-2011-167199,2013-01-06,2013-01-10,Standard Class,2574.0,9,0.0,746.0,0.29
Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,Ibico,Maria Etezadi,Henderson,Kentucky,South,United States,42420,CA-2011-167199,2013-01-06,2013-01-10,Standard Class,610.0,2,0.0,274.0,0.45
Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,Rogers,Maria Etezadi,Henderson,Kentucky,South,United States,42420,CA-2011-167199,2013-01-06,2013-01-10,Standard Class,5.0,2,0.0,1.0,0.27
Technology,Phones,GE 30524EE4,GE,Maria Etezadi,Henderson,Kentucky,South,United States,42420,CA-2011-167199,2013-01-06,2013-01-10,Standard Class,392.0,2,0.0,114.0,0.29
Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,Other,Maria Etezadi,Henderson,Kentucky,South,United States,42420,CA-2011-167199,2013-01-06,2013-01-10,Standard Class,756.0,4,0.0,204.0,0.27
Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",Alliance,Maria Etezadi,Henderson,Kentucky,South,United States,42420,CA-2011-167199,2013-01-06,2013-01-10,Standard Class,31.0,4,0.0,0.0,0.01
Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,Southworth,Maria Etezadi,Henderson,Kentucky,South,United States,42420,CA-2011-167199,2013-01-06,2013-01-10,Standard Class,7.0,1,0.0,3.0,0.46
Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Howard Miller,Vivek Sundaresam,Huntsville,Texas,Central,United States,77340,CA-2011-105417,2013-01-07,2013-01-12,Standard Class,77.0,3,0.6,-54.0,-0.7
Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Acco,Vivek Sundaresam,Huntsville,Texas,Central,United States,77340,CA-2011-105417,2013-01-07,2013-01-12,Standard Class,10.0,7,0.8,-18.0,-1.75
Office Supplies,Art,Newell 312,Newell,Melanie Seite,Laredo,Texas,Central,United States,78041,CA-2011-135405,2013-01-09,2013-01-13,Standard Class,9.0,2,0.2,1.0,0.13
Technology,Accessories,Memorex Micro Travel Drive 8 GB,Memorex,Melanie Seite,Laredo,Texas,Central,United States,78041,CA-2011-135405,2013-01-09,2013-01-13,Standard Class,31.0,3,0.2,10.0,0.31
Office Supplies,Labels,Avery 482,Avery,Anthony Jacobs,Springfield,Virginia,South,United States,22153,CA-2011-149020,2013-01-10,2013-01-15,Standard Class,3.0,1,0.0,1.0,0.47
Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Howard Miller,Anthony Jacobs,Springfield,Virginia,South,United States,22153,CA-2011-149020,2013-01-10,2013-01-15,Standard Class,52.0,1,0.0,21.0,0.41
Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",DAX,Seth Vernon,Dover,Delaware,East,United States,19901,CA-2011-130092,2013-01-11,2013-01-14,First Class,10.0,2,0.0,3.0,0.31
Office Supplies,Envelopes,Staple envelope,Staple envelope,Chris Selesnick,Bossier City,Louisiana,South,United States,71111,CA-2011-162775,2013-01-13,2013-01-15,Second Class,11.0,2,0.0,5.0,0.47
Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,Other,Chris Selesnick,Bossier City,Louisiana,South,United States,71111,CA-2011-162775,2013-01-13,2013-01-15,Second Class,51.0,3,0.0,25.0,0.5
Technology,Accessories,Plantronics S12 Corded Telephone Headset System,Plantronics,Chris Selesnick,Bossier City,Louisiana,South,United States,71111,CA-2011-162775,2013-01-13,2013-01-15,Second Class,647.0,6,0.0,259.0,0.4
Office Supplies,Binders,3-ring staple pack,3-ring staple pack,Chris Selesnick,Bossier City,Louisiana,South,United States,71111,CA-2011-162775,2013-01-13,2013-01-15,Second Class,6.0,3,0.0,3.0,0.48
Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,Fellowes,Chris Selesnick,Bossier City,Louisiana,South,United States,71111,CA-2011-162775,2013-01-13,2013-01-15,Second Class,573.0,6,0.0,34.0,0.06
Furniture,Chairs,Global Highback Leather Tilter in Burgundy,Global,Natalie DeCherney,Mount Pleasant,South Carolina,South,United States,29464,CA-2011-109232,2013-01-13,2013-01-16,Second Class,546.0,6,0.0,87.0,0.16
Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,Tennsco,Brian Dahlen,San Francisco,California,West,United States,94109,CA-2011-157147,2013-01-13,2013-01-18,Standard Class,1326.0,5,0.0,239.0,0.18
Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",O'Sullivan,Brian Dahlen,San Francisco,California,West,United States,94109,CA-2011-157147,2013-01-13,2013-01-18,Standard Class,334.0,3,0.15,4.0,0.01
Office Supplies,Art,4009 Highlighters by Sanford,Other,Brian Dahlen,San Francisco,California,West,United States,94109,CA-2011-157147,2013-01-13,2013-01-18,Standard Class,20.0,5,0.0,7.0,0.33
Office Supplies,Paper,Xerox 1923,Xerox,Michael Moore,Newark,Ohio,East,United States,43055,CA-2011-118192,2013-01-13,2013-01-18,Standard Class,37.0,7,0.2,13.0,0.35
Office Supplies,Binders,Avery Metallic Poly Binders,Avery,Michael Moore,Newark,Ohio,East,United States,43055,CA-2011-118192,2013-01-13,2013-01-18,Standard Class,3.0,2,0.7,-3.0,-0.73
Furniture,Bookcases,Sauder Cornerstone Collection Library,Sauder,Brendan Sweed,Philadelphia,Pennsylvania,East,United States,19140,CA-2011-149524,2013-01-14,2013-01-15,First Class,62.0,4,0.5,-53.0,-0.86
Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Logitech,Erica Hackney,Roswell,Georgia,South,United States,30076,CA-2011-103366,2013-01-15,2013-01-17,First Class,150.0,5,0.0,66.0,0.44
Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,DAX,Delfina Latchford,Philadelphia,Pennsylvania,East,United States,19134,CA-2011-115791,2013-01-16,2013-01-18,Second Class,127.0,6,0.2,29.0,0.23
Technology,Phones,AT&T 841000 Phone,AT&T,Delfina Latchford,Philadelphia,Pennsylvania,East,United States,19134,CA-2011-115791,2013-01-16,2013-01-18,Second Class,124.0,3,0.4,-31.0,-0.25
Office Supplies,Binders,GBC Linen Binding Covers,GBC,Delfina Latchford,Philadelphia,Pennsylvania,East,United States,19134,CA-2011-115791,2013-01-16,2013-01-18,Second Class,19.0,2,0.7,-14.0,-0.73
Office Supplies,Labels,Round Specialty Laser Printer Labels,Other,Delfina Latchford,Philadelphia,Pennsylvania,East,United States,19134,CA-2011-115791,2013-01-16,2013-01-18,Second Class,30.0,3,0.2,10.0,0.34
Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,Fellowes,David Wiener,Springfield,Oregon,West,United States,97477,CA-2011-123477,2013-01-18,2013-01-21,Second Class,65.0,4,0.2,6.0,0.1
Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",GBC,Toby Swindell,Scottsdale,Arizona,West,United States,85254,CA-2011-146591,2013-01-19,2013-01-20,First Class,32.0,10,0.7,-24.0,-0.73
Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",TOPS,Toby Swindell,Scottsdale,Arizona,West,United States,85254,CA-2011-146591,2013-01-19,2013-01-20,First Class,56.0,4,0.2,20.0,0.35
Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Tyvek,Toby Swindell,Scottsdale,Arizona,West,United States,85254,CA-2011-146591,2013-01-19,2013-01-20,First Class,109.0,5,0.2,37.0,0.34
